model,snr_db,noise_std_mean,rmse,mae,mape,r2
ARA-SVR,30.0,0.031587086617946625,9.547448230022006,6.01520631987525,51205911.60198311,0.9270431339179617
ARA-SVR,40.0,0.009988714009523392,9.53219382772535,6.0308396439997285,51076032.75103498,0.9272760808336141
ARA-SVR,60.0,0.0009988714009523392,9.550644893955239,6.045840987783444,51284300.384815454,0.9269942710972718
BRF-WPF,30.0,0.031587086617946625,10.142871765667252,7.0172041743564355,53244374.25193238,0.9176595159680955
BRF-WPF,40.0,0.009988714009523392,9.682192175428991,6.907689750009994,45820752.41731765,0.9249693095718013
BRF-WPF,60.0,0.0009988714009523392,9.661853538173661,6.9210100028692505,46176087.54413565,0.9252842009041427
FLSVR,30.0,0.031587086617946625,9.24523177419977,6.557026752990599,40189852.72340315,0.9315888088239165
FLSVR,40.0,0.009988714009523392,9.248028911975295,6.562058611202642,40252147.08451333,0.9315474070550879
FLSVR,60.0,0.0009988714009523392,9.24580398326785,6.56140229010287,40290894.08550343,0.9315803403038602
HHO-SVR,30.0,0.031587086617946625,8.346909438699278,5.970584048853248,10010495.149267528,0.9442374084670598
HHO-SVR,40.0,0.009988714009523392,8.34342072745782,5.994842364462049,9507335.801306736,0.9442840122851677
HHO-SVR,60.0,0.0009988714009523392,8.377039883361322,6.022658073619196,9526528.27020405,0.94383410130925
KMeans-GBT,30.0,0.031587086617946625,11.002292251011111,7.158523238609702,83453452.40145247,0.9031146974883231
KMeans-GBT,40.0,0.009988714009523392,10.8080612335831,7.130314443212513,78051059.6628589,0.9065052684283108
KMeans-GBT,60.0,0.0009988714009523392,11.264058348090646,7.284855269115047,87156139.5219009,0.8984496723669758
RF-WPF,30.0,0.031587086617946625,8.128131938586021,5.496447273547324,2857587.5122379917,0.9471222417204371
RF-WPF,40.0,0.009988714009523392,8.019788248044103,5.361210895003085,5739660.475110647,0.948522511658464
RF-WPF,60.0,0.0009988714009523392,8.143435742256905,5.39655208770905,3134010.218287924,0.9469229357408837
Standard-LDMR,30.0,0.031587086617946625,10.699644468730353,6.333519203289735,84687064.69893731,0.908371571088331
Standard-LDMR,40.0,0.009988714009523392,10.719934791472802,6.3286799593817555,85040690.43794575,0.9080237215455087
Standard-LDMR,60.0,0.0009988714009523392,10.699797483478477,6.315719225560939,84867239.31058057,0.9083689503281245
Standard-SVR,30.0,0.031587086617946625,8.595921002884802,5.555719439421929,37130857.06250759,0.9408606730969943
Standard-SVR,40.0,0.009988714009523392,8.559453523102173,5.539936613288995,36678854.74314852,0.9413613960509316
Standard-SVR,60.0,0.0009988714009523392,8.565594614978327,5.5386650084284845,36696066.77642935,0.9412772237998857
TL-QLDMR,30.0,0.031587086617946625,7.223375860518601,5.163143641130153,12951317.613488678,0.9582388958286063
TL-QLDMR,40.0,0.009988714009523392,7.04780225550645,4.904746694480709,9818045.752426904,0.9602443401045679
TL-QLDMR,60.0,0.0009988714009523392,7.495683007254034,5.5121687102425305,10185539.497294322,0.9550309233940459
