solver,n_samples,n_source,n_target,time_sec
batch_sgd,100,70.0,30.0,2.745875468943268
batch_sgd,500,350.0,150.0,4.63705480704084
batch_sgd,1000,700.0,300.0,5.698967180214822
batch_sgd,3000,2100.0,900.0,6.417916527017951
batch_sgd,10000,7000.0,3000.0,10.400943608954549
batch_sgd,30000,26272.0,3728.0,25.338145496323705
cvxopt,100,70.0,30.0,0.5090711019001901
cvxopt,500,350.0,150.0,1.0520212510600686
cvxopt,1000,700.0,300.0,7.655327608808875
fast_nystrom,100,70.0,30.0,0.03466932522132993
fast_nystrom,500,350.0,150.0,1.035270324908197
fast_nystrom,1000,700.0,300.0,1.0378417749889195
fast_nystrom,3000,2100.0,900.0,2.4684697850607336
fast_nystrom,10000,7000.0,3000.0,2.7026175698265433
fast_nystrom,30000,26272.0,3728.0,3.482929623220116
fast_nystrom,69737,66009.0,3728.0,5.021309713833034
torch_gd,100,70.0,30.0,2.1546102999709547
torch_gd,500,350.0,150.0,2.6178737017326057
torch_gd,1000,700.0,300.0,2.9794938839040697
torch_gd,3000,2100.0,900.0,20.39545354899019
