solver,n_samples,n_source,n_target,repeat,time_sec,status,error
cvxopt,100,70,30,0,0.5090711019001901,ok,
torch_gd,100,70,30,0,2.1546102999709547,ok,
batch_sgd,100,70,30,0,2.745875468943268,ok,
fast_nystrom,100,70,30,0,0.03466932522132993,ok,
cvxopt,500,350,150,0,1.0520212510600686,ok,
torch_gd,500,350,150,0,2.6178737017326057,ok,
batch_sgd,500,350,150,0,4.63705480704084,ok,
fast_nystrom,500,350,150,0,1.035270324908197,ok,
cvxopt,1000,700,300,0,7.655327608808875,ok,
torch_gd,1000,700,300,0,2.9794938839040697,ok,
batch_sgd,1000,700,300,0,5.698967180214822,ok,
fast_nystrom,1000,700,300,0,1.0378417749889195,ok,
cvxopt,3000,2100,900,0,,skipped,n_total>1000
torch_gd,3000,2100,900,0,20.39545354899019,ok,
batch_sgd,3000,2100,900,0,6.417916527017951,ok,
fast_nystrom,3000,2100,900,0,2.4684697850607336,ok,
cvxopt,10000,7000,3000,0,,skipped,n_total>1000
torch_gd,10000,7000,3000,0,,skipped,n_total>3000
batch_sgd,10000,7000,3000,0,10.400943608954549,ok,
fast_nystrom,10000,7000,3000,0,2.7026175698265433,ok,
cvxopt,30000,26272,3728,0,,skipped,n_total>1000
torch_gd,30000,26272,3728,0,,skipped,n_total>3000
batch_sgd,30000,26272,3728,0,25.338145496323705,ok,
fast_nystrom,30000,26272,3728,0,3.482929623220116,ok,
cvxopt,69737,66009,3728,0,,skipped,n_total>1000
torch_gd,69737,66009,3728,0,,skipped,n_total>3000
batch_sgd,69737,66009,3728,0,,skipped,n_total>30000
fast_nystrom,69737,66009,3728,0,5.021309713833034,ok,
